Exception,Exception.TargetSite,Exception.Message,Exception.Data,Exception.InnerException,Exception.HelpLink,Exception.Source,Exception.HResult,Exception.StackTrace
"System.TypeLoadException: Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Saga.ISaga' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.IConsumer' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.IConsumer' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'Automatonymous.SagaStateMachine`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'Automatonymous.SagaStateMachine`1' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.IBus' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.IBus' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.IBus' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.IBus' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.IConsumer' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.IConsumer' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'Automatonymous.IStateMachineActivityFactory' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'Automatonymous.IStateMachineActivityFactory' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Registration.IRiderRegistrationConfigurator' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Registration.IRiderRegistrationConfigurator' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Scoping.ICompensateActivityScopeProvider`2' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Scoping.ICompensateActivityScopeProvider`2' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
"System.TypeLoadException: Could not load type 'MassTransit.Scoping.IConsumerScopeProvider' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.","","Could not load type 'MassTransit.Scoping.IConsumerScopeProvider' from assembly 'MassTransit, Version=8.2.2.0, Culture=neutral, PublicKeyToken=b8e0e9f2f1e657fa'.",[],"","","",-2146233054,""
